time,open,high,low,close,volume
2020-01-06,0.9,0.9,0.9,0.9,1500
2020-01-07,1.0,1.0,1.0,1.0,200
2020-01-08,1.0,1.0,1.0,1.0,0
2020-01-09,1.0,1.0,1.0,1.0,0
2020-01-10,0.9,0.9,0.9,0.9,100
2020-01-13,0.9,0.9,0.9,0.9,200
2020-01-14,1.0,1.0,0.9,1.0,93500
2020-01-15,1.0,1.0,1.0,1.0,2200
2020-01-16,0.9,1.0,0.9,1.0,600
2020-01-17,0.9,1.0,0.9,1.0,4200
2020-01-20,1.0,1.0,1.0,1.0,0
2020-01-21,1.0,1.0,1.0,1.0,2200
2020-01-22,1.0,1.0,1.0,1.0,0
2020-01-30,1.0,1.0,1.0,1.0,2300
2020-01-31,1.0,1.1,1.0,1.1,13600
2020-02-03,1.1,1.1,1.0,1.0,12000
2020-02-04,1.0,1.0,1.0,1.0,0
2020-02-05,1.0,1.0,1.0,1.0,47100
2020-02-06,1.0,1.0,1.0,1.0,0
2020-02-07,1.0,1.1,1.0,1.1,300
2020-02-10,1.0,1.0,1.0,1.0,17900
2020-02-11,1.0,1.0,1.0,1.0,0
2020-02-12,1.0,1.0,1.0,1.0,0
2020-02-13,1.0,1.0,1.0,1.0,400
2020-02-14,1.0,1.0,1.0,1.0,0
2020-02-17,1.0,1.0,1.0,1.0,25000
2020-02-18,1.0,1.0,1.0,1.0,0
2020-02-19,1.0,1.0,1.0,1.0,0
2020-02-20,1.0,1.0,1.0,1.0,0
2020-02-21,1.0,1.0,1.0,1.0,200
2020-02-24,1.0,1.0,1.0,1.0,0
2020-02-25,1.0,1.0,1.0,1.0,0
2020-02-26,1.0,1.0,1.0,1.0,0
2020-02-27,0.9,0.9,0.9,0.9,100
2020-02-28,0.9,0.9,0.9,0.9,0
2020-03-02,1.0,1.0,1.0,1.0,600
2020-03-03,1.0,1.0,1.0,1.0,700
2020-03-04,1.1,1.1,1.1,1.1,100
2020-03-05,1.2,1.2,1.2,1.2,2500
2020-03-06,1.1,1.2,1.1,1.2,30400
2020-03-09,1.1,1.2,1.1,1.1,400
2020-03-10,1.0,1.1,1.0,1.1,2900
2020-03-11,1.0,1.1,1.0,1.1,23000
2020-03-12,1.0,1.1,1.0,1.1,7100
2020-03-13,1.1,1.1,1.0,1.1,2000
2020-03-16,1.0,1.2,1.0,1.2,1400
2020-03-17,1.1,1.1,1.1,1.1,3100
2020-03-18,1.0,1.1,1.0,1.1,1000
2020-03-19,1.0,1.1,1.0,1.1,3400
2020-03-20,1.0,1.1,1.0,1.1,1900
2020-03-23,1.0,1.1,1.0,1.0,1300
2020-03-24,0.9,1.0,0.9,1.0,36300
2020-03-25,0.9,1.1,0.9,0.9,4900
2020-03-26,0.8,1.0,0.8,1.0,3500
2020-03-27,0.9,1.1,0.9,1.1,700
2020-03-30,1.1,1.1,1.1,1.1,0
2020-03-31,1.0,1.0,1.0,1.0,100
2020-04-01,0.9,1.1,0.9,1.1,7200
2020-04-03,1.0,1.0,1.0,1.0,500
2020-04-06,1.0,1.0,1.0,1.0,0
2020-04-07,1.0,1.0,1.0,1.0,0
2020-04-08,1.0,1.0,1.0,1.0,0
2020-04-09,1.0,1.0,1.0,1.0,0
2020-04-10,1.0,1.0,1.0,1.0,0
2020-04-13,1.0,1.0,1.0,1.0,0
2020-04-14,1.0,1.0,1.0,1.0,0
2020-04-15,1.0,1.0,1.0,1.0,0
2020-04-16,1.0,1.0,1.0,1.0,0
2020-04-17,1.0,1.1,1.0,1.1,3000
2020-04-20,1.1,1.1,1.1,1.1,1700
2020-04-21,1.1,1.1,1.1,1.1,0
2020-04-22,1.0,1.0,1.0,1.0,100
2020-04-23,0.9,1.1,0.9,1.0,4400
2020-04-24,1.0,1.0,1.0,1.0,100
2020-04-27,1.0,1.0,1.0,1.0,1000
2020-04-28,1.0,1.0,1.0,1.0,0
2020-04-29,1.0,1.0,1.0,1.0,100
2020-05-04,1.0,1.0,1.0,1.0,0
2020-05-05,1.0,1.0,1.0,1.0,0
2020-05-06,1.0,1.0,1.0,1.0,0
2020-05-07,0.9,0.9,0.9,0.9,35000
2020-05-08,0.8,0.8,0.8,0.8,100
2020-05-11,0.8,0.9,0.8,0.9,1300
2020-05-12,0.9,1.0,0.9,1.0,36810
2020-05-13,1.0,1.0,1.0,1.0,200
2020-05-14,1.0,1.0,1.0,1.0,1000
2020-05-15,0.9,0.9,0.9,0.9,5500
2020-05-18,0.9,0.9,0.9,0.9,0
2020-05-19,0.9,0.9,0.9,0.9,0
2020-05-20,1.0,1.0,1.0,1.0,100
2020-05-21,1.0,1.0,1.0,1.0,100
2020-05-22,0.9,0.9,0.9,0.9,1500
2020-05-25,0.9,1.0,0.9,1.0,200
2020-05-26,0.9,0.9,0.9,0.9,6600
2020-05-27,0.9,0.9,0.9,0.9,200
2020-05-28,1.0,1.0,1.0,1.0,20600
2020-05-29,1.0,1.1,0.9,1.1,14700
2020-06-01,1.0,1.2,1.0,1.2,32000
2020-06-02,1.1,1.1,1.1,1.1,34000
2020-06-03,1.0,1.0,1.0,1.0,19600
2020-06-04,0.9,1.0,0.9,1.0,11300
2020-06-05,0.9,1.0,0.9,0.9,109200
2020-06-08,1.0,1.0,0.9,0.9,157210
2020-06-09,0.9,1.0,0.9,0.9,274800
2020-06-10,0.9,1.0,0.9,1.0,189000
2020-06-11,1.0,1.1,1.0,1.1,489900
2020-06-12,1.1,1.1,1.0,1.1,269600
2020-06-15,1.1,1.1,1.0,1.0,75800
2020-06-16,1.0,1.1,1.0,1.1,79000
2020-06-17,1.1,1.1,1.0,1.1,15100
2020-06-18,1.0,1.1,1.0,1.1,190300
2020-06-19,1.0,1.1,1.0,1.0,7200
2020-06-22,1.1,1.1,1.0,1.0,22110
2020-06-23,1.0,1.0,1.0,1.0,132000
2020-06-24,1.0,1.1,0.9,1.0,129000
2020-06-25,1.0,1.1,1.0,1.1,448600
2020-06-26,1.0,1.1,1.0,1.1,103100
2020-06-29,1.1,1.1,1.0,1.0,32110
2020-06-30,1.1,1.1,1.0,1.1,52800
2020-07-01,1.0,1.1,1.0,1.1,10300
2020-07-02,1.0,1.1,1.0,1.0,17200
2020-07-03,1.0,1.1,1.0,1.0,5510
2020-07-06,1.0,1.1,1.0,1.0,46500
2020-07-07,1.0,1.1,0.9,1.0,204207
2020-07-08,1.0,1.1,1.0,1.1,200
2020-07-09,1.0,1.0,1.0,1.0,24100
2020-07-10,1.0,1.0,1.0,1.0,9300
2020-07-13,1.0,1.1,1.0,1.1,23500
2020-07-14,1.1,1.1,1.0,1.0,3000
2020-07-15,1.0,1.0,1.0,1.0,146000
2020-07-16,1.0,1.1,1.0,1.1,48800
2020-07-17,1.0,1.0,1.0,1.0,9700
2020-07-20,1.0,1.0,1.0,1.0,7400
2020-07-21,1.0,1.0,1.0,1.0,2500
2020-07-22,1.0,1.0,1.0,1.0,2193
2020-07-23,1.0,1.0,1.0,1.0,0
2020-07-24,0.9,1.0,0.9,0.9,107000
2020-07-27,0.9,1.0,0.9,0.9,94000
2020-07-28,0.9,1.0,0.9,1.0,1200
2020-07-29,1.0,1.0,0.9,0.9,29800
2020-07-30,0.9,1.0,0.8,1.0,101500
2020-07-31,0.9,0.9,0.9,0.9,100
2020-08-03,1.0,1.0,0.9,1.0,10700
2020-08-04,0.9,1.0,0.9,0.9,5411
2020-08-05,0.9,0.9,0.9,0.9,0
2020-08-06,1.0,1.0,1.0,1.0,100
2020-08-07,0.9,0.9,0.9,0.9,1000
2020-08-10,0.9,1.0,0.9,1.0,13200
2020-08-11,0.9,1.0,0.9,1.0,200
2020-08-12,1.0,1.0,1.0,1.0,200
2020-08-13,0.9,1.0,0.9,1.0,2430
2020-08-14,0.9,1.0,0.9,1.0,300
2020-08-17,1.0,1.0,1.0,1.0,5200
2020-08-18,1.0,1.0,0.9,0.9,1700
2020-08-19,1.0,1.0,1.0,1.0,347
2020-08-20,1.0,1.0,0.9,0.9,15200
2020-08-21,1.0,1.0,0.9,1.0,4801
2020-08-24,1.0,1.0,0.9,0.9,3000
2020-08-25,1.0,1.0,1.0,1.0,101
2020-08-26,1.0,1.0,0.9,1.0,710
2020-08-27,1.0,1.0,0.9,1.0,1000
