time,open,high,low,close,volume
2020-01-06,4.2,4.2,3.6,3.6,9200
2020-01-07,3.4,3.9,3.4,3.9,12189
2020-01-08,3.9,3.9,3.6,3.9,300
2020-01-09,3.9,3.9,3.9,3.9,100
2020-01-10,3.9,4.0,3.8,4.0,3200
2020-01-13,4.0,4.0,4.0,4.0,1700
2020-01-14,4.0,4.1,4.0,4.0,12810
2020-01-15,4.0,4.0,3.7,3.7,13300
2020-01-16,3.9,3.9,3.5,3.9,5400
2020-01-17,3.6,3.8,3.6,3.8,2100
2020-01-20,3.8,3.8,3.8,3.8,200
2020-01-21,3.8,4.1,3.6,3.8,22060
2020-01-22,3.9,3.9,3.7,3.9,3300
2020-01-30,3.9,3.9,3.6,3.9,3902
2020-01-31,3.9,3.9,3.6,3.9,5900
2020-02-03,3.6,3.7,3.6,3.7,11650
2020-02-04,3.7,3.7,3.7,3.7,3600
2020-02-05,3.7,3.7,3.7,3.7,0
2020-02-06,3.4,3.4,3.4,3.4,13803
2020-02-07,3.2,3.5,3.1,3.5,3800
2020-02-10,3.4,3.4,3.4,3.4,200
2020-02-11,3.4,3.5,3.3,3.5,6700
2020-02-12,3.5,3.6,3.5,3.5,3800
2020-02-13,3.6,3.7,3.6,3.6,5727
2020-02-14,3.6,3.6,3.6,3.6,2504
2020-02-17,3.6,3.7,3.3,3.7,18200
2020-02-18,3.7,3.9,3.5,3.7,10400
2020-02-19,3.6,3.6,3.6,3.6,700
2020-02-20,3.8,3.8,3.3,3.6,12100
2020-02-21,3.5,3.5,3.5,3.5,904
2020-02-24,3.5,3.5,3.5,3.5,200
2020-02-25,3.5,3.6,3.5,3.6,800
2020-02-26,3.5,3.5,3.5,3.5,3085
2020-02-27,3.4,3.8,3.4,3.7,45200
2020-02-28,3.5,3.5,3.5,3.5,3000
2020-03-02,3.6,3.6,3.6,3.6,100
2020-03-03,3.5,3.6,3.5,3.6,2900
2020-03-04,3.6,3.6,3.3,3.5,11670
2020-03-05,3.7,3.7,3.5,3.5,6600
2020-03-06,3.7,3.7,3.7,3.7,136
2020-03-09,3.4,3.5,3.4,3.5,9700
2020-03-10,3.2,3.5,3.2,3.5,1100
2020-03-11,3.6,3.6,3.5,3.5,200
2020-03-12,3.2,3.4,3.2,3.4,600
2020-03-13,3.1,3.1,3.1,3.1,8730
2020-03-16,2.8,3.4,2.8,3.4,467
2020-03-17,3.3,3.3,3.3,3.3,900
2020-03-18,3.4,3.4,3.4,3.4,1600
2020-03-19,3.7,3.7,3.1,3.3,2800
2020-03-20,3.3,3.4,3.3,3.3,2800
2020-03-23,3.3,3.3,3.3,3.3,10
2020-03-24,3.3,3.3,3.3,3.3,44
2020-03-25,3.3,3.3,3.2,3.3,2500
2020-03-26,3.2,3.3,3.0,3.0,37500
2020-03-27,3.2,3.2,3.2,3.2,200
2020-03-30,3.2,3.2,3.2,3.2,0
2020-03-31,3.1,3.1,3.1,3.1,111
2020-04-01,3.1,3.1,3.1,3.1,800
2020-04-03,3.1,3.1,3.0,3.0,25500
2020-04-06,2.8,3.1,2.8,3.0,3500
2020-04-07,2.9,3.0,2.7,3.0,1800
2020-04-08,3.2,3.2,3.2,3.2,120
2020-04-09,3.1,3.1,3.1,3.1,100
2020-04-10,3.1,3.1,3.0,3.0,200
2020-04-13,2.9,3.0,2.9,3.0,3600
2020-04-14,3.0,3.0,3.0,3.0,0
2020-04-15,2.7,2.9,2.7,2.9,5100
2020-04-16,2.9,3.0,2.9,3.0,3100
2020-04-17,3.0,3.0,2.9,2.9,19700
2020-04-20,2.9,3.0,2.8,3.0,4700
2020-04-21,3.0,3.0,3.0,3.0,500
2020-04-22,2.9,2.9,2.8,2.9,1800
2020-04-23,3.0,3.0,3.0,3.0,100
2020-04-24,3.0,3.0,3.0,3.0,0
2020-04-27,2.9,3.0,2.9,3.0,2700
2020-04-28,3.0,3.0,3.0,3.0,0
2020-04-29,3.0,3.0,3.0,3.0,0
2020-05-04,2.9,2.9,2.9,2.9,1000
2020-05-05,2.8,2.9,2.7,2.8,7324
2020-05-06,2.9,3.0,2.7,2.9,8900
2020-05-07,2.7,2.9,2.7,2.9,2500
2020-05-08,2.7,2.9,2.7,2.9,2200
2020-05-11,2.9,2.9,2.9,2.9,0
2020-05-12,2.8,2.9,2.8,2.9,3010
2020-05-13,2.9,2.9,2.9,2.9,100
2020-05-14,2.9,2.9,2.9,2.9,0
2020-05-15,2.9,2.9,2.7,2.9,6100
2020-05-18,2.9,3.0,2.9,3.0,600
2020-05-19,2.9,3.0,2.9,3.0,200
2020-05-20,2.9,2.9,2.8,2.9,2510
2020-05-21,2.9,3.0,2.9,3.0,800
2020-05-22,2.8,3.0,2.8,3.0,1000
2020-05-25,2.9,3.0,2.9,3.0,7800
2020-05-26,3.0,3.0,3.0,3.0,3005
2020-05-27,3.0,3.0,3.0,3.0,32
2020-05-28,2.9,3.3,2.9,3.1,25959
2020-05-29,3.1,3.1,3.0,3.1,7900
2020-06-01,3.0,3.0,2.9,3.0,8700
2020-06-02,3.3,3.3,3.0,3.3,87600
2020-06-03,3.4,3.6,3.4,3.5,57159
2020-06-04,3.5,3.8,3.5,3.8,35696
2020-06-05,4.1,4.1,3.8,4.0,156132
2020-06-08,4.0,4.0,3.8,3.8,55267
2020-06-09,3.8,4.0,3.8,3.9,59400
2020-06-10,3.8,3.8,3.6,3.8,51020
2020-06-11,3.9,3.9,3.5,3.5,164537
2020-06-12,3.2,3.6,3.2,3.5,30759
2020-06-15,3.6,3.7,3.3,3.4,48340
2020-06-16,3.4,3.4,3.2,3.4,47737
2020-06-17,3.3,3.4,3.2,3.4,19100
2020-06-18,3.4,3.5,3.3,3.5,48559
2020-06-19,3.3,3.5,3.3,3.4,54620
2020-06-22,3.4,3.4,3.2,3.3,15000
2020-06-23,3.2,3.6,3.2,3.6,153929
2020-06-24,3.6,3.6,3.3,3.3,82200
2020-06-25,3.6,3.6,3.2,3.4,180617
2020-06-26,3.4,3.4,3.2,3.3,94962
2020-06-29,3.3,3.3,3.0,3.2,138723
2020-06-30,3.2,3.3,3.0,3.0,44400
2020-07-01,3.0,3.2,3.0,3.2,45400
2020-07-02,3.2,3.2,3.0,3.2,41500
2020-07-03,3.1,3.1,3.0,3.1,45300
2020-07-06,3.0,3.0,2.9,3.0,35730
2020-07-07,3.0,3.1,3.0,3.1,186104
2020-07-08,3.1,3.1,3.0,3.0,23103
2020-07-09,3.0,3.1,3.0,3.1,25000
2020-07-10,3.0,3.1,2.9,3.0,101029
2020-07-13,2.9,3.0,2.9,2.9,40200
2020-07-14,2.9,2.9,2.9,2.9,92800
2020-07-15,3.0,3.1,3.0,3.0,90200
2020-07-16,3.0,3.0,2.9,3.0,10390
2020-07-17,2.9,3.0,2.8,3.0,107300
2020-07-20,2.9,2.9,2.8,2.9,29100
2020-07-21,2.8,2.9,2.8,2.9,84220
2020-07-22,2.8,2.8,2.7,2.7,167011
2020-07-23,2.6,2.6,2.5,2.5,214500
2020-07-24,2.4,2.4,2.3,2.3,97900
2020-07-27,2.1,2.2,2.1,2.1,210200
2020-07-28,1.9,2.2,1.9,2.2,103492
2020-07-29,2.2,2.2,2.0,2.2,50314
2020-07-30,2.2,2.3,2.1,2.3,20210
2020-07-31,2.1,2.3,2.1,2.2,56700
2020-08-03,2.1,2.3,2.1,2.3,50530
2020-08-04,2.3,2.4,2.3,2.4,38708
2020-08-05,2.3,2.4,2.2,2.3,36622
2020-08-06,2.3,2.3,2.2,2.3,30888
2020-08-07,2.3,2.3,2.2,2.3,8810
2020-08-10,2.3,2.4,2.3,2.3,30500
2020-08-11,2.4,2.4,2.3,2.4,14600
2020-08-12,2.3,2.3,2.2,2.3,31420
2020-08-13,2.3,2.5,2.3,2.5,68100
2020-08-14,2.7,2.7,2.7,2.7,15300
2020-08-17,2.9,2.9,2.9,2.9,35800
2020-08-18,3.1,3.1,3.0,3.1,679681
2020-08-19,3.3,3.4,3.3,3.4,183031
2020-08-20,3.7,3.7,3.4,3.5,232800
2020-08-21,3.4,3.5,3.2,3.2,310920
2020-08-24,3.0,3.5,3.0,3.3,99800
2020-08-25,3.2,3.4,3.0,3.1,61763
2020-08-26,3.1,3.4,3.1,3.4,307620
2020-08-27,3.6,3.7,3.6,3.7,357135
2020-08-28,4.0,4.0,3.8,4.0,215650
2020-08-31,4.4,4.4,4.4,4.4,216210
2020-09-01,4.7,4.7,4.0,4.6,509805
2020-09-03,4.4,4.7,4.2,4.6,178576
2020-09-04,4.2,4.5,4.2,4.4,84640
2020-09-07,4.1,4.4,4.0,4.0,209427
2020-09-08,4.0,4.1,3.6,4.1,115530
2020-09-09,3.8,4.0,3.8,4.0,16002
2020-09-10,4.0,4.1,3.8,4.0,90400
2020-09-11,3.8,3.9,3.7,3.8,45213
2020-09-14,3.8,4.0,3.8,4.0,84200
2020-09-15,4.0,4.0,3.9,3.9,102480
2020-09-16,3.9,4.2,3.9,4.2,58820
2020-09-17,4.5,4.6,4.2,4.2,92652
2020-09-18,4.3,4.3,4.0,4.1,41900
2020-09-21,3.8,4.1,3.7,4.1,72200
2020-09-22,3.9,4.1,3.9,4.0,36210
2020-09-23,3.9,4.0,3.9,3.9,35000
2020-09-24,3.9,4.0,3.8,3.8,55420
2020-09-25,3.8,3.9,3.7,3.7,75400
2020-09-28,3.7,3.9,3.6,3.9,47300
2020-09-29,3.9,3.9,3.7,3.8,71300
2020-09-30,3.8,3.8,3.7,3.8,10100
2020-10-01,3.7,3.8,3.6,3.8,30700
2020-10-02,3.8,4.0,3.8,4.0,93420
2020-10-05,4.1,4.1,3.8,3.9,21600
2020-10-06,3.8,3.9,3.7,3.9,49400
2020-10-07,3.8,3.8,3.6,3.8,83100
2020-10-08,3.8,3.8,3.6,3.7,29100
2020-10-09,3.6,3.7,3.5,3.5,73200
2020-10-12,3.6,3.7,3.5,3.5,59800
2020-10-13,3.5,3.6,3.5,3.6,10600
2020-10-14,3.6,3.6,3.3,3.5,16000
2020-10-15,3.5,3.5,3.2,3.2,90300
2020-10-16,3.4,3.4,3.3,3.3,36200
2020-10-19,3.4,3.6,3.4,3.6,54000
2020-10-20,3.8,3.9,3.7,3.8,86500
2020-10-21,3.8,3.9,3.6,3.6,18100
2020-10-22,3.7,3.7,3.4,3.4,42200
2020-10-23,3.4,3.6,3.3,3.5,28800
2020-10-26,3.6,3.7,3.5,3.6,8500
2020-10-27,3.5,3.5,3.3,3.4,20200
2020-10-28,3.3,3.4,3.3,3.3,10700
2020-10-29,3.3,3.5,3.3,3.4,26800
2020-10-30,3.4,3.4,3.3,3.3,6900
2020-11-02,3.3,3.3,3.3,3.3,2100
2020-11-03,3.3,3.3,3.2,3.3,17000
2020-11-04,3.4,3.5,3.4,3.5,9600
2020-11-05,3.3,3.5,3.3,3.4,25600
2020-11-06,3.5,3.5,3.3,3.5,2400
2020-11-09,3.5,3.5,3.2,3.3,31200
2020-11-10,3.4,3.5,3.3,3.3,9400
2020-11-11,3.3,3.4,3.2,3.4,17100
2020-11-12,3.3,3.4,3.3,3.3,2800
2020-11-13,3.2,3.3,3.0,3.3,16500
2020-11-16,3.2,3.2,3.0,3.2,39000
2020-11-17,3.1,3.3,3.0,3.3,28000
2020-11-18,3.1,3.3,3.1,3.2,47000
2020-11-19,3.2,3.3,3.2,3.2,27700
2020-11-20,3.2,3.2,3.0,3.2,19700
2020-11-23,3.2,3.3,3.2,3.2,22000
2020-11-24,3.2,3.5,3.2,3.5,123600
2020-11-25,3.7,3.7,3.4,3.4,25500
2020-11-26,3.4,3.4,3.2,3.4,14400
2020-11-27,3.3,3.4,3.2,3.4,17200
2020-11-30,3.4,3.5,3.3,3.4,31100
2020-12-01,3.4,3.6,3.4,3.5,40300
2020-12-02,3.5,3.5,3.3,3.4,97400
2020-12-03,3.3,3.4,3.2,3.3,23300
